"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-01","31","32","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-02","30","39","26"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-03","33","36","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-04","32","37","24"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-05","31","37","26"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-06","33","34","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-07","32","34","31"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-08","33","36","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-09","35","36","33"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-10","33","34","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-11","31","34","27"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-12","32","36","30"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-13","27","33","1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-14","-3","3","-10"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-15","-7","2","-10"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-16","-1","3","-7"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-17","7","20","2"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-18","20","28","12"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2024-01-19","12","14","5"
